id,name,math,probability,geometry,logic_puzzle,image_only,text_only,mixed_input,language,abstract
64,Poetry in Motion,0,0,0,0,0,1,0,1,0
65,Hooks #6,1,0,1,1,0,0,1,0,0
66,"Tri, Tri Again, Again",1,0,1,0,0,0,1,0,0
67,Block Party 3,1,0,0,1,0,0,1,0,0
68,Knight Moves 3,1,0,0,0,0,0,1,0,0
69,Scraggle,,0,0,1,0,0,1,1,0
70,Hooks #5,1,0,1,1,0,0,1,0,0
71,Disassembled Rainbow Bagel,1,0,1,0,0,0,1,0,0
72,Remote Sudoku,1,0,0,1,0,0,1,0,0
73,Twenty Four Seven 2-by-2,1,0,0,1,0,0,1,0,0
74,Tile and Trouble 2,0,0,0,0,0,1,0,1,0
75,Fences,0,0,1,1,0,0,1,0,0
76,Block Party 2,1,0,0,1,0,0,1,0,0
77,'Pent-up' Frustration,1,0,1,0,0,0,1,0,0
78,Subtiles,1,0,0,1,0,0,1,0,0
79,Spiral Region,1,0,1,0,0,0,1,0,0
80,Hooks #4,1,0,1,1,0,0,1,0,0
81,Triangle Math,1,0,1,0,0,1,0,0,0
82,Twenty Four Seven,0,0,0,1,0,0,1,0,0
83,Swing Time 2,1,0,1,1,0,0,1,0,0
84,Where in the World?,0,0,0,0,0,0,1,1,0
85,Itâs Symmetric!,1,0,1,1,0,0,1,0,0
86,Hooks #3,1,0,1,1,0,0,1,0,0
87,Rather Square Sudoku,1,0,0,1,0,0,1,0,0
88,Crosswords,0,0,1,1,1,0,0,0,1
89,Block Party,1,0,0,1,0,0,1,0,0
90,Turn-based Strategy Game,0,0,0,1,1,0,0,0,1
91,Square Run,1,0,0,1,0,0,1,0,0
92,Middlylinks,0,0,0,1,0,0,1,0,0
93,Split Division,1,0,0,0,0,0,1,0,0
94,Well Well Well...,1,0,0,0,0,0,1,0,0
95,KenKen (Concatenated),0,0,0,1,0,0,1,0,0
96,Knight Moves #2,1,0,0,0,0,0,1,0,0
97,Birthday Bash,1,1,0,0,0,1,0,0,0
98,What About Bob?,1,0,0,1,0,1,0,0,0
99,Hex-agony #2,1,0,1,0,0,0,1,0,0
100,Star Search,0,0,0,0,1,0,0,1,1
101,The Wright Stuff,0,0,0,1,0,0,1,1,0
102,"Tri, Tri Again",1,0,1,0,0,0,1,0,0
103,Chess Dance,1,0,0,1,0,0,1,0,0
104,Swing Time,1,0,1,1,0,0,1,0,0
105,Number Cross #3,1,0,0,1,0,0,1,0,0
106,Get Out The Vote,1,0,0,0,0,1,0,0,0
107,Hooks #2,1,0,1,1,0,0,1,0,0
108,Long. Journey,1,0,0,1,1,0,0,1,0
109,Knight Moves,1,0,0,0,0,0,1,0,0
110,Travel Agent,1,0,0,1,1,0,0,0,1
111,Professor Rando Redux,1,1,0,0,0,1,0,0,0
112,Professor Rando,1,1,0,0,0,1,0,0,0
113,Pair Dance,1,1,1,0,0,0,1,0,0
114,Hex-agony,1,0,1,0,0,0,1,0,0
115,Think Of The Children!,1,0,0,1,0,1,0,0,0
116,Number Cross 2,1,0,0,1,0,0,1,0,0
117,Good Chemistry,1,0,0,0,0,1,0,0,1
118,Polymath,1,0,1,0,0,0,1,0,0
119,Tic Tac Oh...,1,1,0,1,0,1,0,0,0
120,Hall of Mirrors,1,0,1,1,0,0,1,0,0
121,Ticker Treat,0,0,0,0,0,1,0,1,1
122,Oh CHUTE!,0,0,0,1,1,0,0,0,1
123,OH SHOOT!,0,0,0,1,1,0,0,0,1
124,Deck the Cards,1,1,0,0,1,0,0,0,0
125,Wrong Division,1,0,0,0,0,0,1,0,0
126,Minesweeping,1,1,0,0,0,0,1,0,0
127,Superflip,0,0,0,0,1,0,0,1,1
128,Number Cross,1,0,0,1,0,0,1,0,0
129,Chain Reaction,1,0,0,0,0,1,0,0,0
130,Question Mark,1,0,0,0,0,1,0,0,1
131,Tile and Trouble,0,0,0,0,0,1,0,1,0
132,Chess Pains â White To Move,0,0,0,1,0,0,1,0,0
133,Altered States,0,0,0,0,0,0,1,1,0
134,Hooks,1,0,1,1,0,0,1,0,0
135,Sum of Squares,1,0,0,1,0,0,1,0,0
